execution_order,score_drop_rank,condition,family,kind,n_features,runs,mean_score_delta,std_score_delta,score_delta_sem,score_delta_ci95,mean_score_delta_pct,mean_lines_delta,std_lines_delta,mean_score,std_score,median_score,mean_lines,mean_pieces,baseline_mean_score,baseline_mean_lines,feature_indices,feature_names
56,26,horizontal_hole_edge_distance_row_10,horizontal_hole_edge_distance,individual,1.0,100.0,148.2,887.4619126839452,88.74619126839453,173.94253488605327,21.40381282495667,2.4,16.002525053278564,544.2,679.8056466165291,360.0,10.96,65.55,692.4,13.36,55,horizontal_hole_edge_distance_row_10
57,12,horizontal_hole_edge_distance_row_11,horizontal_hole_edge_distance,individual,1.0,100.0,219.2,894.4584502322728,89.44584502322728,175.31385624552547,31.658001155401504,4.63,13.490479246603151,473.2,564.2710144760032,300.0,8.73,60.17,692.4,13.36,56,horizontal_hole_edge_distance_row_11
58,47,horizontal_hole_edge_distance_row_12,horizontal_hole_edge_distance,individual,1.0,100.0,102.8,870.1098038219491,87.0109803821949,170.54152154910201,14.846909300982091,1.34,15.272091136343041,589.6,667.8563929589666,410.0,12.02,68.65,692.4,13.36,57,horizontal_hole_edge_distance_row_12
59,83,horizontal_hole_edge_distance_row_13,horizontal_hole_edge_distance,individual,1.0,100.0,12.8,813.4501654786061,81.34501654786061,159.4362324338068,1.8486424032351243,0.83,12.202049008260868,679.6,663.8058618468372,470.0,12.53,69.69,692.4,13.36,58,horizontal_hole_edge_distance_row_13
60,20,horizontal_hole_edge_distance_row_14,horizontal_hole_edge_distance,individual,1.0,100.0,176.8,859.9399556205813,85.99399556205813,168.54823130163393,25.534373194685156,2.56,15.215170526202266,515.6,542.821510184694,360.0,10.8,65.37,692.4,13.36,59,horizontal_hole_edge_distance_row_14
61,74,horizontal_hole_edge_distance_row_15,horizontal_hole_edge_distance,individual,1.0,100.0,38.6,888.55463159748,88.855463159748,174.15670779310608,5.574812247255922,0.78,14.789827243716875,653.8,695.5076338091975,410.0,12.58,69.94,692.4,13.36,60,horizontal_hole_edge_distance_row_15
62,33,horizontal_hole_edge_distance_row_16,horizontal_hole_edge_distance,individual,1.0,100.0,136.8,718.2679503394596,71.82679503394596,140.78051826653407,19.757365684575394,1.81,10.967992919712735,555.6,524.6149525936604,440.0,11.55,67.47,692.4,13.36,61,horizontal_hole_edge_distance_row_16
63,79,horizontal_hole_edge_distance_row_17,horizontal_hole_edge_distance,individual,1.0,100.0,31.4,914.0353639026482,91.40353639026482,179.15093132491904,4.534950895436165,0.17,15.187750912422082,661.0,706.0796589964087,470.0,13.19,71.58,692.4,13.36,62,horizontal_hole_edge_distance_row_17
64,65,horizontal_hole_edge_distance_row_18,horizontal_hole_edge_distance,individual,1.0,100.0,58.2,701.0531471661154,70.10531471661155,137.40641684455863,8.405545927209706,1.41,12.379597911258848,634.2,655.9150905876508,430.0,11.95,68.36,692.4,13.36,63,horizontal_hole_edge_distance_row_18
65,95,horizontal_hole_edge_distance_row_19,horizontal_hole_edge_distance,individual,1.0,100.0,-175.6,863.3670521085842,86.33670521085841,169.21994221328248,-25.361062969381862,-2.22,12.509051268436133,868.0,981.7280168101036,450.0,15.58,77.4,692.4,13.36,64,horizontal_hole_edge_distance_row_19
66,87,horizontal_hole_clusteredness_row_0,horizontal_hole_clusteredness,individual,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.4,693.4485918184199,480.0,13.36,72.07,692.4,13.36,65,horizontal_hole_clusteredness_row_0
67,84,horizontal_hole_clusteredness_row_1,horizontal_hole_clusteredness,individual,1.0,100.0,6.6,78.16351676796121,7.816351676796121,15.320049286520398,0.953206239168111,0.24,1.4915248789901108,685.8,694.8194736837052,460.0,13.12,71.44,692.4,13.36,66,horizontal_hole_clusteredness_row_1
68,85,horizontal_hole_clusteredness_row_2,horizontal_hole_clusteredness,individual,1.0,100.0,5.8,223.18710726313213,22.318710726313213,43.744673023573895,0.8376660889659157,0.26,3.0604020334035535,686.6,667.381767987727,520.0,13.1,71.5,692.4,13.36,67,horizontal_hole_clusteredness_row_2
69,58,horizontal_hole_clusteredness_row_3,horizontal_hole_clusteredness,individual,1.0,100.0,76.6,278.1330979980991,27.81330979980991,54.514087207627426,11.062969381860196,1.33,4.010226825494936,615.8,618.1581962212873,440.0,12.03,68.33,692.4,13.36,68,horizontal_hole_clusteredness_row_3
70,62,horizontal_hole_clusteredness_row_4,horizontal_hole_clusteredness,individual,1.0,100.0,65.4,379.15221750690586,37.915221750690584,74.31383463135354,9.445407279029464,1.07,6.238128118613982,627.0,623.8387191211743,420.0,12.29,69.2,692.4,13.36,69,horizontal_hole_clusteredness_row_4
